Ruta;Clasificacion;Longitud;Provincia1;Provincia2;Provincia3;Provincia4;Provincia5
1;Primaria;290.07;San Jose; Alajuela; Heredia; Guanacaste; Puntarenas
2;Primaria;356.45;San Jose; Cartago; Puntarenas;;
3;Primaria;67.27;San Jose; Alajuela; Heredia;;
4;Primaria;256.46;Alajuela; Heredia; Guanacaste; Limon;
5;Primaria;8.86;San Jose; Heredia;;;
6;Primaria;59.11;Alajuela; Guanacaste;;;
10;Primaria;90.4;Cartago; Limon;;;
14;Primaria;25.77;Puntarenas;;;;
17;Primaria;16.71;Puntarenas;;;;
18;Primaria;49.25;Guanacaste;;;;
21;Primaria;145.54;Guanacaste; Puntarenas;;;
22;Primaria;4.35;San Jose;;;;
23;Primaria;12.66;Puntarenas;;;;
27;Primaria;76.75;San Jose; Alajuela; Puntarenas;;
32;Primaria;156.85;San Jose; Heredia; Limon;;
34;Primaria;210.67;Alajuela; Puntarenas;;;
35;Primaria;92.38;Alajuela;;;;
36;Primaria;92.8;Limon;;;;
39;Primaria;14.91;San Jose;;;;
100;Secundaria;3.13;San Jose;;;;
101;Secundaria;4.27;San Jose;;;;
102;Secundaria;8.14;San Jose;;;;
103;Secundaria;3.70;Heredia;;;;
104;Secundaria;8.39;San Jose;;;;
105;Secundaria;13.68;San Jose;;;;
106;Secundaria;5.81;Heredia;;;;
107;Secundaria;22.14;Alajuela;;;;
108;Secundaria;5.97;San Jose;;;;
109;Secundaria;3.35;San Jose;;;;
110;Secundaria;3.46;San Jose;;;;
111;Secundaria;11.8;Alajuela; Heredia;;;
112;Secundaria;11.44;Heredia;;;;
113;Secundaria;14.06;Heredia;;;;
114;Secundaria;15.82;Heredia;;;;
115;Secundaria;1.38;Heredia;;;;
116;Secundaria;14.92;Heredia;;;;
117;Secundaria;4.60;San Jose; Heredia;;;
118;Secundaria;29.1;Alajuela;;;;
119;Secundaria;6.97;Alajuela; Heredia;;;
120;Secundaria;15.1;Alajuela; Heredia;;;
121;Secundaria;14.61;San Jose;;;;
122;Secundaria;8.50;Alajuela; Heredia;;;
123;Secundaria;11.47;Alajuela; Heredia;;;
124;Secundaria;13.43;Alajuela;;;;
125;Secundaria;10.66;Alajuela;;;;
126;Secundaria;73.5;Alajuela; Heredia;;;
127;Secundaria;5.07;Heredia;;;;
128;Secundaria;5.23;Heredia;;;;
129;Secundaria;5.13;Heredia;;;;
130;Secundaria;17.29;Alajuela;;;;
131;Secundaria;20.12;Alajuela; Puntarenas;;;
132;Secundaria;10.15;Puntarenas;;;;
133;Secundaria;4.86;Guanacaste;;;;
134;Secundaria;3.82;Alajuela;;;;
135;Secundaria;21.92;Alajuela;;;;
136;Secundaria;28.62;San Jose; Alajuela;;;
137;Secundaria;41.41;San Jose; Alajuela;;;
138;Secundaria;42.98;Alajuela;;;;
139;Secundaria;21.66;Alajuela;;;;
140;Secundaria;38.05;Alajuela;;;;
141;Secundaria;86.71;Alajuela;;;;
142;Secundaria;105.68;Alajuela; Guanacaste;;;
143;Secundaria;20.14;Alajuela; Guanacaste;;;
144;Secundaria;7.29;Puntarenas;;;;
145;Secundaria;47.15;Guanacaste;;;;
146;Secundaria;14.99;Alajuela;;;;
147;Secundaria;5.18;San Jose; Alajuela;;;
148;Secundaria;11.1;Alajuela;;;;
149;Secundaria;2.58;Limon;;;;
150;Secundaria;61.95;Guanacaste;;;;
151;Secundaria;14.64;Guanacaste;;;;
152;Secundaria;18.52;Guanacaste;;;;
153;Secundaria;1.67;Alajuela;;;;
154;Secundaria;9.17;Alajuela;;;;
155;Secundaria;32.77;Guanacaste;;;;
156;Secundaria;0.64;Alajuela;;;;
157;Secundaria;8.93;Guanacaste;;;;
158;Secundaria;39.22;Guanacaste;;;;
159;Secundaria;10.91;Guanacaste;;;;
160;Secundaria;229.04;Guanacaste; Puntarenas;;;
161;Secundaria;5.20;Guanacaste;;;;
163;Secundaria;35.67;Guanacaste; Puntarenas;;;
164;Secundaria;65.95;Alajuela; Guanacaste;;;
165;Secundaria;13.88;Guanacaste;;;;
167;Secundaria;4.84;San Jose;;;;
168;Secundaria;4.00;Puntarenas;;;;
169;Secundaria;5.71;Alajuela;;;;
170;Secundaria;22.88;Alajuela; Guanacaste;;;
171;Secundaria;3.89;Heredia;;;;
174;Secundaria;1.13;San Jose;;;;
175;Secundaria;2.29;San Jose;;;;
176;Secundaria;2.33;San Jose;;;;
177;Secundaria;5.10;San Jose;;;;
180;Secundaria;11.11;Guanacaste;;;;
200;Secundaria;1.41;San Jose;;;;
201;Secundaria;1.55;San Jose;;;;
202;Secundaria;13.43;San Jose; Cartago;;;
203;Secundaria;3.62;San Jose;;;;
204;Secundaria;3.09;San Jose;;;;
205;Secundaria;6.72;San Jose;;;;
206;Secundaria;10.79;San Jose;;;;
207;Secundaria;1.87;San Jose;;;;
209;Secundaria;46.9;San Jose;;;;
210;Secundaria;4.00;San Jose;;;;
